cif_number,product,precision,score
10063437,MC PREPAID VOYAGE,0.75,0.700503
10064783,MC PREPAID VOYAGE,0.727273,0.699113
10077449,NATIONAL CLIENTELLE,0.75,0.700413
10078574,PRODUIT GOLD,1.0,0.707337
10084916,MC PREPAID VOYAGE,0.727273,0.699113
10099666,MC PREPAID VOYAGE,0.758621,0.701374
10106989,NATIONAL CLIENTELLE,0.75,0.700413
10140849,NATIONAL CLIENTELLE,0.805556,0.704063
10159136,MC PREPAID VOYAGE,1.0,0.707397
10166165,MC PREPAID VOYAGE,0.727273,0.699113
10171424,MC PREPAID VOYAGE,0.727273,0.699113
10175760,MC PREPAID VOYAGE,0.785714,0.702512
10178814,MC PREPAID VOYAGE,1.0,0.707397
10181581,MC PREPAID VOYAGE,1.0,0.707397
10184756,MC PREPAID VOYAGE,1.0,0.707397
10185907,MC PREPAID VOYAGE,1.0,0.707397
10194194,MC PREPAID VOYAGE,1.0,0.707397
10197963,MC PREPAID VOYAGE,1.0,0.707397
10231773,PRODUIT GOLD,1.0,0.707337
10249799,MC PREPAID VOYAGE,0.727273,0.699113
10254280,MC PREPAID VOYAGE,1.0,0.707397
10262847,MC PREPAID VOYAGE,0.763158,0.701883
10263735,MC PREPAID VOYAGE,0.701493,0.698355
10270635,MC PREPAID VOYAGE,0.763158,0.701883
10279095,MC PREPAID VOYAGE,0.701493,0.698355
10282785,MC PREPAID VOYAGE,0.701493,0.698355
10283254,MC PREPAID VOYAGE,0.763158,0.701883
10283350,MC PREPAID VOYAGE,0.763158,0.701883
10284647,NATIONAL CLIENTELLE,0.9,0.706472
10285806,NATIONAL CLIENTELLE,0.9,0.706472
10286443,MC PREPAID VOYAGE,0.894737,0.706563
10290281,MC PREPAID VOYAGE,0.701493,0.698355
10292894,MC PREPAID VOYAGE,0.763158,0.701883
10294041,MC PREPAID VOYAGE,0.763158,0.701883
10296663,MC PREPAID VOYAGE,0.894737,0.706563
10296700,MC PREPAID VOYAGE,0.763158,0.701883
10303315,MC PREPAID VOYAGE,0.701493,0.698355
10303805,MC PREPAID VOYAGE,0.894737,0.706563
10303973,NATIONAL CLIENTELLE,0.75,0.700413
10304576,MC PREPAID VOYAGE,0.701493,0.698355
10305750,MC PREPAID VOYAGE,0.763158,0.701883
10307470,MC PREPAID VOYAGE,0.894737,0.706563
10311312,NATIONAL CLIENTELLE,0.9,0.706472
10312217,NATIONAL CLIENTELLE,0.705882,0.697372
10317544,MC PREPAID VOYAGE,0.763158,0.701883
10318051,MC PREPAID VOYAGE,0.701493,0.698355
10321337,MC PREPAID VOYAGE,0.701493,0.698355
10329527,MC PREPAID VOYAGE,0.763158,0.701883
10329883,MC PREPAID VOYAGE,0.701493,0.698355
10331298,MC PREPAID VOYAGE,0.763158,0.701883
10331790,NATIONAL CLIENTELLE,0.9,0.706472
10332285,MC PREPAID VOYAGE,0.701493,0.698355
10333644,MC PREPAID VOYAGE,0.763158,0.701883
10333977,MC PREPAID VOYAGE,0.763158,0.701883
10336719,MC PREPAID VOYAGE,0.701493,0.698355
10339775,MC PREPAID VOYAGE,0.701493,0.698355
10342229,MC PREPAID VOYAGE,0.894737,0.706563
10342676,NATIONAL CLIENTELLE,0.9,0.706472
10343779,MC PREPAID VOYAGE,0.763158,0.701883
10344501,MC PREPAID VOYAGE,0.701493,0.698355
10345177,MC PREPAID VOYAGE,0.701493,0.698355
10350116,NATIONAL CLIENTELLE,0.9,0.706472
10359989,MC PREPAID VOYAGE,0.894737,0.706563
10379767,NATIONAL CLIENTELLE,0.75,0.700413
10397971,MC PREPAID JEUNE,0.833333,0.704975
10413211,NATIONAL CLIENTELLE,0.954545,0.707544
10454286,NATIONAL CLIENTELLE,1.0,0.707325
10455497,MC PREPAID JEUNE,0.833333,0.704975
10455989,MC PREPAID VOYAGE,0.758621,0.701374
10466821,MC PREPAID VOYAGE,0.894737,0.706563
10493212,NATIONAL CLIENTELLE,0.857143,0.705306
10498759,MC PREPAID VOYAGE,0.826087,0.704582
10505867,NATIONAL CLIENTELLE,0.752381,0.70302
10537253,NATIONAL CLIENTELLE,0.75,0.700413
10548290,NATIONAL CLIENTELLE,0.954545,0.707544
10552245,MC PREPAID VOYAGE,0.763158,0.701883
10555460,NATIONAL CLIENTELLE,0.8,0.703137
10578915,NATIONAL CLIENTELLE,0.805556,0.704063
10579713,NATIONAL CLIENTELLE,0.954545,0.707544
10604350,MC PREPAID VOYAGE,0.894737,0.706563
10605358,MC PREPAID VOYAGE,0.763158,0.701883
10608182,NATIONAL CLIENTELLE,1.0,0.707325
10608815,MC PREPAID VOYAGE,0.701493,0.698355
10609229,MC PREPAID VOYAGE,0.894737,0.706563
10613456,MC PREPAID VOYAGE,0.763158,0.701883
